Title,SJR,SJR Best Quartile,H index,Total Docs. (2024),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,%Female,APC (USD),Aging,Cancer Research,Cardiology and Cardiovascular Medicine,Community and Home Care,Complementary and Alternative Medicine,Critical Care and Intensive Care Medicine,Endocrinology,"Endocrinology, Diabetes and Metabolism",Gastroenterology,Geriatrics and Gerontology,Gerontology,Health Policy,Hematology,Hepatology,Immunology,Immunology and Allergy,Immunology and Microbiology,Infectious Diseases,Internal Medicine,Medicine,Nephrology,Oncology,Parasitology,Pulmonary and Respiratory Medicine,Reproductive Medicine,Respiratory Care,Rheumatology
Nature Biomedical Engineering,10.105,Q1,140,204,442,10275,10572,355,21.44,50.37,35.6,4798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Nature Reviews Gastroenterology and Hepatology,9.911,Q1,211,143,475,9792,9407,300,15.77,68.48,37.46,5053,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Morbidity and Mortality Weekly Report,9.559,Q1,274,235,1012,1694,12236,834,13,7.21,64.12,5326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Molecular Cancer,9.263,Q1,222,276,558,28148,16613,465,30.3,101.99,42.4,4893,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Endocrine Reviews,9.175,Q1,317,35,113,9418,3097,113,25.91,269.09,41.76,4828,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of the American College of Cardiology,9.015,Q1,512,682,2073,17965,19103,952,9.29,26.34,31.75,5016,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Gut,8.874,Q1,364,312,1098,10241,16121,692,14.49,32.82,39.33,4925,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Circulation,8.668,Q1,691,617,1770,22956,24375,1169,13.55,37.21,35.19,4906,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
JAMA Oncology,8.377,Q1,193,371,1123,6183,9242,500,8.32,16.67,39.86,4900,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Annual Review of Public Health,8.291,Q1,189,27,53,3222,1207,52,22.77,119.33,64.71,4848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Science Immunology,8.22,Q1,123,162,533,9837,7216,523,13.14,60.72,43.6,5071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Annual Review of Clinical Psychology,8.021,Q1,158,18,65,2068,1529,65,17.4,114.89,49.02,4835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Journal of Thoracic Oncology,7.948,Q1,190,253,741,5503,6704,353,7.97,21.75,37.7,4660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
Nature Reviews Endocrinology,7.884,Q1,224,130,472,8275,5931,231,11.82,63.65,40.33,4874,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nature Metabolism,7.529,Q1,92,225,587,11394,7511,437,11.55,50.64,41.52,4710,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Nature Reviews Nephrology,7.309,Q1,177,124,411,9500,5986,246,15.13,76.61,38.37,4687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cancer Discovery,7.283,Q1,250,215,1311,8687,14180,1125,10.53,40.4,40.33,4765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Gastroenterology,7.195,Q1,482,480,2082,12440,17027,980,7.19,25.92,38.04,4832,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nature Aging,7.081,Q1,51,219,483,9482,5201,288,8.97,43.3,42.07,4590,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neuro-Oncology,6.974,Q1,178,250,766,11044,8721,519,8.79,44.18,40.12,4488,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Nature Microbiology,6.893,Q1,157,319,682,17174,8764,516,12.22,53.84,41.95,4909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Lancet Digital Health,6.838,Q1,85,137,388,3207,6071,218,15.3,23.41,39.33,4601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Annual Review of Medicine,6.794,Q1,182,34,103,2791,2098,103,23.14,82.09,37.23,4567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Lancet Respiratory Medicine,6.788,Q1,197,231,909,4114,8335,410,9.38,17.81,40.39,5015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Science Translational Medicine,6.722,Q1,303,283,989,18945,14319,976,13.56,66.94,43.28,4686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Diabetes Care,6.566,Q1,433,378,1369,12654,17008,1058,13.05,33.48,50.13,4673,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Cancer Communications,6.403,Q1,94,100,319,7285,4682,180,12.32,72.85,39.39,4238,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Lancet Planetary Health,6.386,Q1,90,173,457,5719,6531,271,11.39,33.06,49.26,4373,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
JAMA Cardiology,5.936,Q1,127,222,799,4715,5310,415,6.24,21.24,31.15,4740,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cellular and Molecular Immunology,5.916,Q1,135,131,620,9991,8416,412,12.17,76.27,43.45,4289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
The Lancet Global Health,5.87,Q1,153,360,1146,7621,7722,460,6.75,21.17,39.14,4798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Journal of Experimental Medicine,5.834,Q1,503,191,753,12234,7296,716,8.35,64.05,46.54,4758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Blood,5.823,Q1,540,859,2584,27230,19324,1536,7.31,31.7,45.35,4524,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
JAMA Psychiatry,5.755,Q1,417,224,642,6067,6729,393,9.08,27.08,45.55,4680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Annals of the Rheumatic Diseases,5.731,Q1,300,182,1349,7441,9988,617,7.66,40.88,45.02,4634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
Journal of the National Cancer Institute,5.703,Q1,394,275,773,9639,4822,549,5.19,35.05,48.9,4533,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Reports on Progress in Physics,5.666,Q1,259,79,124,13262,2716,124,20.41,167.87,20.62,4592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
National Center for Health Statistics Data Brief,5.63,Q1,99,16,76,0,945,76,13.48,0,74.29,4735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Clinical Microbiology Reviews,5.594,Q1,340,55,97,14404,1973,97,19.02,261.89,40.5,4841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
European Journal of Heart Failure,5.559,Q1,185,416,1006,12242,6319,527,5.97,29.43,36.18,4558,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hepatology,5.557,Q1,415,576,1581,22271,14591,999,9.55,38.66,40.99,4494,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
JNCCN Journal of the National Comprehensive Cancer Network,5.514,Q1,162,159,609,7107,6923,514,11.49,44.7,45.78,4326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Nature Reviews Rheumatology,5.507,Q1,198,130,502,7733,4716,256,9.64,59.48,34.27,4266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Lancet Infectious Diseases,5.446,Q1,304,517,1504,8147,11867,657,8.68,15.76,42.78,4830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Accounts of Chemical Research,5.433,Q1,472,272,1023,17241,17863,1001,16.94,63.39,28.7,4733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
JACC: Cardiovascular Imaging,5.426,Q1,169,232,995,4601,5283,381,5.73,19.83,29.67,4518,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Protein and Cell,5.392,Q1,104,63,248,3623,3057,151,7.91,57.51,45.56,4249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Human Reproduction Update,5.357,Q1,227,42,140,4424,2325,125,17.01,105.33,56.94,4429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
JAMA,5.352,Q1,794,1559,4678,14741,35510,2026,6.96,9.46,42.24,4596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Drug Resistance Updates,5.282,Q1,139,102,123,9024,2883,121,21.83,88.47,39.42,4382,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
The Lancet Microbe,5.262,Q1,53,213,495,5726,3752,234,7.99,26.88,50.93,4923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
JACC: Heart Failure,5.218,Q1,118,316,612,6248,2699,246,4.32,19.77,34.53,4571,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Lancet Healthy Longevity,5.166,Q1,43,142,451,3911,3108,192,6.01,27.54,51.19,4369,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blood Cancer Journal,5.139,Q1,85,220,549,7019,4328,308,6.17,31.9,43.47,4285,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Genome Medicine,5.078,Q1,133,152,439,10707,4914,432,10.74,70.44,46.82,4497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
American Journal of Respiratory and Critical Care Medicine,5.076,Q1,436,618,1948,14020,10941,769,5.72,22.69,40.28,4600,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Intensive Care Medicine,4.999,Q1,246,418,936,8590,6088,312,5.15,20.55,41.04,4495,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
European Heart Journal,4.987,Q1,367,848,2635,23624,19241,1544,7.46,27.86,30.85,4337,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cell Systems,4.943,Q1,98,107,293,7003,2130,248,5.72,65.45,36.89,4678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Lancet Haematology,4.936,Q1,103,192,585,3212,3008,258,5.39,16.73,45.17,4452,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psychotherapy and Psychosomatics,4.904,Q1,123,62,142,2596,1456,97,9.57,41.87,43.97,4386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Circulation Research,4.897,Q1,402,254,777,17937,9653,681,11.24,70.62,41.92,4444,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
EMBO Journal,4.821,Q1,441,296,913,20462,7991,841,7.14,69.13,41.88,4601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Clinical Cancer Research,4.8,Q1,392,571,1880,23331,17406,1807,8.53,40.86,43.37,4441,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Molecular Systems Biology,4.783,Q1,178,73,207,5224,1661,194,7.15,71.56,41.33,4671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Trends in Cancer,4.727,Q1,101,115,329,8630,3694,321,11.32,75.04,41.32,4317,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
British Journal of Sports Medicine,4.724,Q1,241,289,877,9811,7484,530,8.86,33.95,44.73,4389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Journal of Clinical Investigation,4.721,Q1,558,651,1688,34251,17543,1602,9.85,52.61,43.25,4527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Brain,4.72,Q1,391,390,1355,25230,12431,1054,9.05,64.69,43.61,4431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Protein Science,4.657,Q1,204,372,755,22249,6489,743,6.35,59.81,38.03,4339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
JAMA Internal Medicine,4.623,Q1,403,459,1282,6163,6339,483,5.77,13.43,50.91,4474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
The Lancet HIV,4.506,Q1,91,169,505,3576,2491,238,4.48,21.16,41.62,4435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Annual Review of Microbiology,4.505,Q1,220,31,103,4334,1136,100,10.1,139.81,38.75,4581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
European Respiratory Journal,4.502,Q1,299,355,1411,11336,10572,798,7.96,31.93,41.55,4353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Implementation Science,4.491,Q1,157,77,255,4755,2863,245,12,61.75,65.06,4127,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Acta Neuropathologica,4.483,Q1,227,184,384,11791,3266,304,8.03,64.08,43.2,4527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Health Affairs,4.465,Q1,224,232,767,6139,4525,602,5.84,26.46,55.27,4308,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Annual Review of Nutrition,4.435,Q1,184,19,59,2840,920,57,12.78,149.47,55.56,4175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Blood Cancer Discovery,4.316,Q1,32,39,142,1856,1068,139,7.29,47.59,38.6,4389,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PLoS Medicine,4.279,Q1,289,158,714,7301,7147,700,8.71,46.21,47.37,4365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Journal for ImmunoTherapy of Cancer,4.22,Q1,136,471,1524,20875,14439,1494,9.1,44.32,43.23,4293,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
Sleep Medicine Reviews,4.209,Q1,192,102,344,7923,4114,276,9.79,77.68,49.22,4216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Military Medical Research,4.206,Q1,53,82,206,9291,3330,160,17.83,113.3,35.53,3910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cancer Treatment Reviews,4.183,Q1,172,127,286,11947,3171,283,11.01,94.07,46.84,4256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
npj Digital Medicine,4.164,Q1,104,370,588,18345,9141,517,14.67,49.58,37.67,4106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Kidney International,4.13,Q1,330,367,1243,10416,7960,640,5.64,28.38,42.52,4277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Nature Cardiovascular Research,4.096,Q1,26,177,376,7062,1435,177,3.82,39.9,39.23,4280,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Lancet Regional Health - Europe,4.088,Q1,55,317,714,9435,5183,402,7.31,29.76,49.4,4542,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Bone Research,4.048,Q1,76,69,170,6582,2592,168,14.86,95.39,39.56,4132,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Molecular Therapy,4.008,Q1,220,374,870,20074,8816,737,9.4,53.67,45.49,4221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Experimental and Molecular Medicine,4.001,Q1,133,225,566,17070,7101,556,12.18,75.87,37.51,4144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Annual Review of Phytopathology,3.984,Q1,195,18,54,2596,721,54,12.39,144.22,39.13,4308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Genomics, Proteomics and Bioinformatics",3.964,Q1,80,88,267,4925,2855,251,7.21,55.97,36.31,4105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cardiovascular Research,3.947,Q1,251,236,936,11616,8380,723,9.65,49.22,40.16,4063,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Journal of Allergy and Clinical Immunology,3.935,Q1,350,377,1321,18557,10637,975,7.8,49.22,47.65,4236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Trends in Immunology,3.895,Q1,265,113,336,6997,3171,327,8.95,61.92,43.52,4445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Sports Medicine,3.887,Q1,247,214,520,18981,5413,432,9.5,88.7,29.08,4240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cancer Research,3.879,Q1,510,335,1319,15889,12228,1299,8.74,47.43,41.37,4195,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Radiology,3.856,Q1,346,556,1783,11148,12438,1003,7.24,20.05,34.14,4272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Lancet Rheumatology,3.837,Q1,61,169,538,3841,2734,193,5.39,22.73,49.75,4316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
Endocrine Pathology,3.832,Q1,61,49,138,1545,1404,123,12.92,31.53,45.21,3728,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
